,10k
0,5k
1,abs
2,aerobic
3,aerobics
4,aikido
5,anaerobic
6,ashtanga
7,backpacking
8,badminton
9,barbell
10,barbells
11,baseball
12,basketball
13,bball
14,bench press
15,bicycle
16,bicycles
17,bicycling
18,bike
19,bikes
20,biking
21,bodybuilder
22,bodybuilders
23,bodybuilding
24,bouldering
25,camping
26,campsite
27,campsites
28,canoe
29,canoeing
30,canoes
31,cardio
32,catamaran
33,catamarans
34,cheerleading
35,climb
36,climbed
37,climbing
38,climbs
39,crampons
40,cricket
41,cross country
42,cross-country
43,crossfit
44,cruising
45,crunches
46,cycling
47,deadlift
48,deadlifts
49,dive
50,dives
51,diving
52,dumbbell
53,dumbbells
54,exercise
55,exercised
56,exerciser
57,exercises
58,exercising
59,fishing
60,fitness
61,football
62,golf
63,gym
64,gymnasium
65,gymnastics
66,gyms
67,handball
68,handstand
69,hatha
70,hiit
71,hike
72,hiked
73,hikes
74,hiking
75,hockey
76,horseback
77,ice-skating
78,jitsu
79,jiu jitsu
80,jiu-jitsu
81,jog
82,jogged
83,jogging
84,judo
85,karate
86,kayak
87,kayaking
88,kayaks
89,kettlebell
90,kettlebells
91,kiteboarding
92,kitesurfing
93,krav-maga
94,lacrosse
95,lunge
96,lunges
97,marathon
98,martial arts
99,moped
100,mopeds
101,motorbike
102,motorbikes
103,mountain bike
104,mountain biking
105,mountaineering
106,paddle
107,paddled
108,paddles
109,paddling
110,paragliding
111,parasailing
112,physical therapy
113,pilates
114,pool
115,pools
116,powerlifting
117,pull-ups
118,pullups
119,push ups
120,push-up
121,push-ups
122,pushup
123,pushups
124,raft
125,rafting
126,rafts
127,ran
128,rides
129,riding
130,rock climb
131,rock climbing
132,rollerblade
133,rollerblading
134,rowed
135,rowing
136,rugby
137,run
138,running
139,runs
140,sail
141,sailboat
142,sailboats
143,sailed
144,sailing
145,sails
146,scooter
147,scooters
148,scuba
149,shotokan
150,sit-ups
151,skate
152,skateboard
153,skateboarding
154,skateboards
155,skater
156,skaters
157,skates
158,skating
159,ski
160,skier
161,skiers
162,skiing
163,skis
164,skydiving
165,sledding
166,snorkel
167,snorkeling
168,snorkelling
169,snowboarder
170,snowboarders
171,snowboarding
172,snowboards
173,snowshoe
174,snowshoeing
175,snowshoes
176,soccer
177,softball
178,sports
179,sprint
180,sprinted
181,squat
182,squats
183,squatted
184,squatting
185,stroll
186,strolled
187,swim
188,swimming
189,swimming pool
190,swims
191,table tennis
192,tae
193,taekwondo
194,tennis
195,tourney
196,trail
197,trails
198,train
199,trainer
200,trainers
201,training session
202,trains
203,treadmill
204,treadmills
205,trekking
206,treks
207,triathlon
208,trx
209,vinyasa
210,volleyball
211,wakeboarding
212,walk
213,walking
214,walks
215,weight-lifting
216,weightlifting
217,windsurf
218,windsurfing
219,wod
220,work out
221,work-out
222,worked out
223,working out
224,workout
225,workouts
226,wrestle
227,wrestling
228,yacht
229,yachts
230,yoga
231,zumba
