,Applebee's
0,Arby's
1,IHOP
2,Macdonalds
3,[\w]*bread
4,[\w]*cake
5,[\w]*tart
6,aioli
7,ales
8,almond
9,almonds
10,anchovies
11,anchovy
12,appetizer
13,appetizers
14,appetizing
15,apple
16,apples
17,apricot
18,apricots
19,artichoke
20,artichokes
21,arugula
22,asparagus
23,ate
24,avocado
25,avocados
26,bacon
27,bagel
28,bagels
29,bake
30,baked
31,bakery
32,banana
33,bananas
34,bar
35,barbecue
36,barbecued
37,barbecues
38,barbeque
39,barbeques
40,barley
41,basil
42,bbq
43,bbqs
44,beans
45,beef
46,beer
47,beers
48,beet
49,beets
50,berries
51,beverage
52,beverages
53,biscuit
54,biscuits
55,bistro
56,bistros
57,bite
58,bites
59,blackberries
60,blueberries
61,blueberry
62,boiled
63,bran
64,bratwurst
65,bread
66,breaded
67,breads
68,breakfast
69,breakfasts
70,brew
71,brewed
72,brewing
73,brioche
74,broccoli
75,broiled
76,broth
77,brownie
78,brownies
79,brunch
80,buffet
81,buffets
82,burger
83,burgers
84,burrito
85,burritos
86,butcher
87,butter
88,buttercream
89,butternut
90,butterscotch
91,cabbage
92,cabernet
93,cabernet sauvignon
94,cacao
95,cafe
96,cafes
97,café
98,cafés
99,cake
100,cakes
101,calamari
102,candied
103,candies
104,candy
105,cappuccino
106,caramel
107,caramelized
108,carb
109,carbohydrate
110,carbohydrates
111,carbs
112,carrot
113,carrots
114,cashew
115,cashews
116,casserole
117,casseroles
118,cauliflower
119,celery
120,chard
121,chardonnay
122,cheddar
123,cheese
124,cheeseburger
125,cheeseburgers
126,cheesecake
127,cheesecake factory
128,cheesecakes
129,cheeses
130,chef
131,chefs
132,cherries
133,chicken
134,chickpea
135,chickpeas
136,chilies
137,chilis
138,chilli
139,chinese food
140,chips
141,chives
142,chocolate
143,chocolates
144,chowder
145,ciabatta
146,cilantro
147,cinnamon
148,citrusy
149,clam
150,clams
151,clove
152,cloves
153,cocktail
154,cocktails
155,cocoa
156,coconut
157,coconuts
158,coffee
159,coleslaw
160,collard
161,collards
162,cook
163,cooked
164,cookie
165,cookies
166,cooking
167,cookout
168,cooks
169,corn
170,cornbread
171,couscous
172,crab
173,crabs
174,cracker
175,crackers
176,cranberries
177,cranberry
178,cream
179,crepes
180,crispy
181,crockpot
182,croissant
183,croissants
184,croutons
185,cucumber
186,cucumbers
187,cuisine
188,cuisines
189,cupcake
190,cupcakes
191,currant
192,currants
193,curries
194,custard
195,cutlets
196,dairy
197,dairy queen
198,deep-fried
199,delectable
200,delicacies
201,delicious
202,deliciously
203,delish
204,dessert
205,desserts
206,dill
207,dim sum
208,dining
209,dinner
210,dinners
211,dish
212,dishes
213,donut
214,donuts
215,doughnut
216,doughnuts
217,drank
218,drink
219,drinking
220,drinks
221,dumpling
222,dumplings
223,dunkin
224,dunkin'
225,eat
226,eaten
227,eateries
228,eatery
229,eating
230,eats
231,edamame
232,egg
233,eggplant
234,eggplants
235,eggs
236,empanadas
237,enchilada
238,enchiladas
239,entree
240,entrees
241,entrée
242,entrées
243,espresso
244,fajitas
245,falafel
246,fast food
247,fennel
248,feta
249,fettuccine
250,figs
251,filet
252,filets
253,fillet
254,fillets
255,fish
256,flatbread
257,flavor
258,flavored
259,flavorful
260,flavoring
261,flavorings
262,flavors
263,flavour
264,flavoured
265,flavourful
266,flavouring
267,flavours
268,flour
269,focaccia
270,food
271,food delivery
272,foods
273,fried
274,fries
275,frittata
276,frosting
277,fruit
278,fruitiness
279,fruits
280,fruity
281,fudge
282,garbanzo
283,garlic
284,gin
285,ginger
286,gnocchi
287,grain
288,grains
289,granola
290,grape
291,grapes
292,gravy
293,grilled
294,guacamole
295,guava
296,halibut
297,ham
298,hamburger
299,hamburgers
300,hazelnut
301,hazelnuts
302,hot dogs
303,hotdog
304,hotdogs
305,hummus
306,ice cream
307,ice-cream
308,icecream
309,icing
310,jalapenos
311,jamba juice
312,juice
313,juices
314,kale
315,ketchup
316,kreme
317,krispy
318,lager
319,lagers
320,lasagna
321,lasagne
322,latte
323,lattes
324,leeks
325,lemon
326,lemonade
327,lemons
328,lemony
329,lentils
330,lettuce
331,lettuces
332,lime
333,limes
334,linguine
335,liqueur
336,loaves
337,lobster
338,lobsters
339,lollipops
340,lunch
341,lunches
342,lychee
343,macadamia
344,macaroni
345,mackerel
346,malbec
347,mango
348,mangoes
349,mangos
350,margarita
351,margaritas
352,marinade
353,marinate
354,marinated
355,marinating
356,marjoram
357,martini
358,martinis
359,mashed
360,mayonnaise
361,meal
