,CEO
0,a raise
1,advertising
2,assistant
3,associate
4,boss
5,bosses
6,business
7,businesses
8,co-ordinator
9,co-worker
10,co-workers
11,colleague
12,colleagues
13,companies
14,company
15,contract
16,coordinator
17,corporate
18,corporations
19,coworker
20,coworkers
21,director
22,employee
23,employees
24,employer
25,employers
26,enterprises
27,executive
28,finish work
29,finished project
30,firm
31,firms
32,government
33,governmental
34,governments
35,headquarter
36,headquarters
37,hired
38,industrial
39,industries
40,industry
41,intern
42,internship
43,internships
44,interview
45,interviewed
46,interviewing
47,interviews
48,job
49,jobs
50,manager
51,manufacture
52,manufactured
53,manufacturer
54,manufacturers
55,manufactures
56,manufacturing
57,marketing
58,multi-national
59,multinational
60,multinationals
61,nations
62,office
63,offices
64,paycheck
65,paychecks
66,profit
67,profits
68,promoted
69,promotion
70,promotional
71,promotions
72,provider
73,providers
74,revenue
75,sector
76,sectors
77,supervisor
78,supplier
79,suppliers
80,work(?! out)
81,worked(?! out)
82,working(?! out)
